state,year,month,dn,count,avg_brightness,median_frp,max_day_count,max_day_date,pct_night
California,2014,8,A,2136,340.4044007490637,52.75,,,0.5838014981273408
California,2014,9,A,1789,343.2843487982113,54.1,,,0.44438233650083847
California,2014,10,A,321,326.5981308411215,27.1,,,0.08099688473520249
California,2014,11,A,139,319.5741007194245,20.6,,,0.02158273381294964
California,2014,12,A,56,317.6482142857143,19.5,,,0.10714285714285714
California,2015,1,A,90,315.9166666666667,18.35,,,0.07777777777777778
California,2015,2,A,178,319.60505617977526,19.5,,,0.016853932584269662
California,2015,3,A,228,323.5719298245614,18.55,,,0.0043859649122807015
California,2015,4,A,175,329.012,23.5,,,0.06857142857142857
California,2015,5,A,69,328.7333333333333,21.5,,,0.13043478260869565
California,2015,6,A,786,352.8376590330789,85.85,,,0.3994910941475827
California,2015,7,A,517,345.88220502901356,65.3,,,0.43520309477756286
California,2015,8,A,3870,337.54899224806206,43.349999999999994,,,0.4661498708010336
California,2015,9,A,1332,344.8009009009009,59.599999999999994,,,0.45345345345345345
California,2015,10,A,469,325.8251599147122,25.1,,,0.046908315565031986
California,2015,11,A,458,324.83253275109166,33.5,,,0.08078602620087336
California,2015,12,A,129,324.35271317829455,29.9,,,0.046511627906976744
California,2016,1,A,33,316.55757575757576,16.4,,,0.06060606060606061
California,2016,2,A,99,317.579797979798,17.2,,,0.04040404040404041
California,2016,3,A,139,320.105035971223,17.1,,,0.0
California,2016,4,A,143,328.0601398601398,22.6,,,0.013986013986013986
California,2016,5,A,111,329.15675675675675,25.6,,,0.06306306306306306
California,2016,6,A,645,349.70496124031007,82.0,,,0.462015503875969
California,2016,7,A,1040,346.8526923076923,66.05,,,0.48173076923076924
California,2016,8,A,2232,347.0400089605735,69.45,,,0.45161290322580644
California,2016,9,A,1159,340.2061259706644,53.5,,,0.4012079378774806
California,2016,10,A,477,327.25597484276733,26.3,,,0.1111111111111111
California,2016,11,A,513,322.00116959064326,22.7,,,0.05458089668615984
California,2016,12,A,82,321.9670731707317,21.75,,,0.012195121951219513
California,2017,1,A,40,325.07,16.15,,,0.0
California,2017,2,A,89,320.12134831460673,24.2,,,0.056179775280898875
California,2017,3,A,159,320.79748427672956,19.5,,,0.012578616352201259
California,2017,4,A,180,325.10555555555555,20.5,,,0.022222222222222223
California,2017,5,A,207,329.8729468599034,31.8,,,0.01932367149758454
California,2017,6,A,235,337.6063829787234,45.6,,,0.25957446808510637
California,2017,7,A,1926,347.9370716510904,68.80000000000001,,,0.4885773624091381
California,2017,8,A,2804,333.9169757489301,37.349999999999994,,,0.5092724679029957
California,2017,9,A,2965,336.47089376053964,40.9,,,0.5345699831365935
California,2017,10,A,2151,338.40567178056716,51.8,,,0.4291027429102743
California,2017,11,A,458,322.00458515283844,24.35,,,0.034934497816593885
California,2017,12,A,2006,352.7734297108674,94.69999999999999,,,0.3988035892323031
California,2018,1,A,199,322.6266331658291,20.3,,,0.02512562814070352
California,2018,2,A,426,318.1854460093897,18.6,,,0.035211267605633804
California,2018,3,A,174,320.80172413793105,14.9,,,0.022988505747126436
California,2018,4,A,227,326.70748898678414,25.8,,,0.05286343612334802
California,2018,5,A,109,330.3467889908257,24.1,,,0.009174311926605505
California,2018,6,A,390,345.9153846153846,55.849999999999994,,,0.2923076923076923
California,2018,7,A,3542,344.1340767927724,56.0,,,0.5609824957651045
California,2018,8,A,7582,342.47432075969397,53.0,,,0.5114745449749406
California,2018,9,A,1256,336.5852707006369,43.4,,,0.4625796178343949
California,2018,10,A,536,325.36138059701494,23.799999999999997,,,0.055970149253731345
California,2018,11,A,1533,350.9748206131768,73.1,,,0.40769732550554466
California,2018,12,A,117,315.4863247863248,18.3,,,0.07692307692307693
California,2019,1,A,143,319.70419580419576,16.9,,,0.013986013986013986
California,2019,2,A,61,316.955737704918,15.9,,,0.01639344262295082
California,2019,3,A,133,316.1556390977443,13.5,,,0.007518796992481203
California,2019,4,A,186,331.06827956989247,28.6,,,0.005376344086021506
California,2019,5,A,174,331.3327586206897,28.85,,,0.040229885057471264
California,2019,6,A,252,335.19325396825394,33.2,,,0.14285714285714285
California,2019,7,A,189,335.45026455026454,33.2,,,0.25396825396825395
California,2019,8,A,263,333.8174904942966,35.5,,,0.376425855513308
California,2019,9,A,1067,342.58453608247424,49.4,,,0.38425492033739456
